trade_date,open,high,low,close,vol
2024-03-28,12.03,12.35,12.03,12.23,6548.9
2024-03-29,12.18,12.25,12.11,12.19,4988.16
2024-04-01,12.15,12.39,12.15,12.29,5709.61
2024-04-02,12.21,12.64,12.21,12.46,11912.53
2024-04-03,12.5,12.55,12.35,12.49,5122.57
2024-04-08,12.45,12.45,12.03,12.08,7844.44
2024-04-09,12.06,12.24,12.04,12.17,4188.24
2024-04-10,12.14,12.61,12.0,12.16,15461.28
2024-04-11,12.0,12.01,11.62,11.66,18579.89
2024-04-12,11.68,11.72,11.37,11.41,6809.16
2024-04-15,11.44,11.53,11.03,11.06,11136.44
2024-04-16,11.11,11.13,10.47,10.54,13844.42
2024-04-17,10.74,11.07,10.61,11.03,13533.78
2024-04-18,11.06,11.19,10.84,11.06,9277.63
2024-04-19,10.98,11.1,10.87,10.98,5439.17
2024-04-22,10.98,11.4,10.95,11.33,10619.36
2024-04-23,11.17,11.39,11.13,11.33,6742.89
2024-04-24,11.33,11.33,11.11,11.24,8890.47
2024-04-25,11.23,11.32,11.16,11.19,5587.62
2024-04-26,11.17,11.32,11.1,11.3,7452.29
2024-04-29,11.45,11.67,11.37,11.58,10828.17
2024-04-30,11.49,12.1,11.48,11.84,15148.93
2024-05-06,11.95,12.24,11.84,12.08,11365.08
2024-05-07,12.1,12.14,11.86,11.89,8801.08
2024-05-08,11.84,12.15,11.84,12.08,12922.19
2024-05-09,12.12,12.13,11.95,12.06,8335.02
2024-05-10,12.04,12.06,11.75,11.91,6506.57
2024-05-13,11.8,12.09,11.59,11.59,12313.65
2024-05-14,11.59,11.72,11.47,11.52,10173.66
2024-05-15,11.55,11.63,11.47,11.48,7717.32
2024-05-16,11.51,11.65,11.42,11.51,5476.84
2024-05-17,11.49,11.58,11.46,11.53,3586.88
2024-05-20,11.58,11.58,11.42,11.43,6578.77
2024-05-21,11.38,11.46,11.15,11.16,7452.41
2024-05-22,11.25,11.39,11.12,11.25,3867.48
2024-05-23,11.29,11.76,11.15,11.6,19792.43
2024-05-24,11.65,11.66,11.42,11.44,6405.06
2024-05-27,11.51,11.51,11.39,11.46,3842.19
2024-05-28,11.6,11.69,11.35,11.35,5780.29
2024-05-29,11.33,11.45,11.28,11.34,4790.61
2024-05-30,11.28,11.39,11.26,11.31,2725.23
2024-05-31,11.39,11.39,11.2,11.27,2832.75
2024-06-03,11.28,11.28,10.8,10.84,9618.03
2024-06-04,10.84,10.97,10.65,10.77,7855.32
2024-06-05,10.79,10.79,10.6,10.6,4862.02
2024-06-06,10.69,10.69,10.44,10.52,8922.94
2024-06-07,10.58,10.78,10.58,10.69,6839.52
2024-06-11,10.76,10.87,10.54,10.73,3190.31
2024-06-12,10.83,10.88,10.66,10.8,3823.84
2024-06-13,10.77,10.84,10.71,10.8,2920.13
2024-06-14,10.82,10.82,10.77,10.8,2550.72
2024-06-17,10.74,10.79,10.63,10.69,3216.75
2024-06-18,10.69,10.78,10.63,10.73,3320.02
2024-06-19,10.73,11.07,10.7,10.88,6207.19
2024-06-20,10.85,10.9,10.67,10.67,4485.39
2024-06-21,10.68,11.13,10.68,11.04,9219.45
