证券代码,证券名称,"区间成交均价
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    元","区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间日均涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间日均换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间振幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","相对大盘区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[大盘指数选项]    上证指数
[复权方式]    不复权
[单位]    %"
430017.BJ,星昊医药,13.9893,9.1270,0.1134,662.8079,2.7389,460447206.0000,1902674.4050,6441316239.6900,26617009.2549,0.0000,21.1829
430047.BJ,诺思兰德,15.8534,9.8239,0.0977,243.4469,1.0060,403857734.0000,1668833.6116,6402516168.7800,26456678.3834,0.0000,21.8798
430090.BJ,同辉信息,4.2319,3.2143,0.1598,1216.2610,5.0259,2188542242.0000,9043562.9835,9261697216.9700,38271476.1032,0.0000,15.2702
430139.BJ,华岭股份,12.2063,-14.7228,-0.0062,375.0767,1.5499,562614339.0000,2324852.6405,6867429248.4200,28377806.8117,0.0000,-2.6669
430198.BJ,微创光电,9.0631,25.0585,0.2894,1697.8572,7.1640,1135941888.0000,4793003.7468,10295120119.1300,43439325.3972,0.0000,37.1144
430300.BJ,辰光医疗,10.6985,-9.4711,0.0835,926.1404,3.8270,495244286.0000,2046463.9917,5298361891.9300,21894057.4047,0.0000,2.5848
430418.BJ,苏轴股份,20.9219,-11.6732,0.1692,693.4720,2.8656,371984419.0000,1537125.6983,7782616652.3800,32159572.9437,0.0000,0.3827
430425.BJ,乐创技术,19.7766,-25.9955,0.1461,1599.7544,6.6106,341911244.0000,1412856.3802,6761829400.4100,27941443.8033,0.0000,-13.9396
430476.BJ,海能技术,11.6772,-41.2412,-0.1623,313.7123,1.2963,190471441.0000,787072.0702,2224168878.3100,9190780.4889,0.0000,-29.1853
430478.BJ,峆一药业,22.0195,-25.1044,0.1593,1699.8494,7.0242,349313226.0000,1443443.0826,7691696237.9100,31783868.7517,0.0000,-13.0485
430489.BJ,佳先股份,7.0573,29.5688,0.2028,988.4630,4.0846,846627337.0000,3498460.0702,5974869233.2800,24689542.2863,0.0000,41.6247
430510.BJ,丰光精密,19.4018,31.4660,0.4475,1300.5784,5.3743,840289054.0000,3472268.8182,16303156421.4100,67368414.9645,0.0000,43.5219
430556.BJ,雅达股份,5.3478,19.2201,0.1708,870.4153,3.5968,689281793.0000,2848271.8719,3686174967.5600,15232127.9651,0.0000,31.2759
430564.BJ,天润科技,11.8115,77.8662,0.4493,2636.7214,10.8955,606855123.0000,2507665.7975,7167886457.4200,29619365.5265,0.0000,89.9221
430685.BJ,新芝生物,10.9440,-33.0889,-0.0826,532.3316,2.1997,237337069.0000,980731.6901,2597419424.4500,10733138.1176,0.0000,-21.0330
430718.BJ,合肥高科,10.2883,62.7273,0.2990,1287.7976,5.3215,314120868.0000,1298020.1157,3231784815.2100,13354482.7075,0.0000,74.7831
830779.BJ,武汉蓝电,29.0842,-22.9632,-0.0335,689.8532,2.8506,91296676.0000,377258.9917,2655292655.1500,10972283.6990,0.0000,-10.9074
830799.BJ,艾融软件,11.2938,3.9088,0.1143,939.2318,3.8811,1112749263.0000,4598137.4504,12567211951.5900,51930627.8991,0.0000,15.9647
830809.BJ,安达科技,5.6081,-48.3961,-0.2032,286.7507,1.1849,944886886.0000,3904491.2645,5298990602.9800,21896655.3842,0.0000,-36.3402
830832.BJ,齐鲁华信,5.0656,-11.0865,0.0261,219.2837,0.9061,273783602.0000,1131337.1983,1386875936.3700,5730892.2990,0.0000,0.9694
830839.BJ,万通液压,11.2819,25.2980,0.1691,278.9133,1.1525,179568200.0000,742017.3554,2025877378.6500,8371394.1267,0.0000,37.3539
830879.BJ,基康仪器,9.5765,22.7481,0.1457,371.9226,1.5369,194875229.0000,805269.5413,1866220121.8400,7711653.3960,0.0000,34.8040
830896.BJ,旺成科技,9.1810,47.7178,0.3293,1776.0460,7.3390,450010980.0000,1859549.5041,4131567295.3900,17072592.1297,0.0000,59.7737
830946.BJ,森萱医药,8.7710,-10.6383,0.0240,158.4717,0.6548,676234013.0000,2794355.4256,5931222126.1600,24509182.3395,0.0000,1.4176
